C,degree,gamma,kernel,mean_test_Accuracy,std_test_Accuracy,mean_test_Precision,std_test_Precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2,mean_test_f0.5,std_test_f0.5
0.01,3.0,0.5,poly,0.8531894636623294,0.03825721880835154,0.8414208558371417,0.027365002656306335,0.9056732740943267,0.04755931055264825,0.872066995207627,0.0342201546830999,0.8033919665480699,0.03858231521453365,0.853852993111819,0.05259174859067853
0.01,3.0,1.0,poly,0.8721040939384324,0.03504579934659273,0.8601513473153837,0.028575284381909292,0.9187969924812031,0.0378823526726635,0.888328068385488,0.0306610650376108,0.828204710218795,0.039510413372116804,0.8738616782907258,0.045278049817294386
0.01,5.0,3.19,poly,0.7950386120808209,0.03773135528103037,0.8113891299407012,0.04537250263576844,0.8242652084757347,0.03513398591293914,0.8170111329528481,0.031761576894697365,0.7615839267128282,0.058855965103502654,0.7723904228065017,0.04026568981794291
0.01,5.0,0.1,poly,0.6076060509891039,0.016656510449653765,0.5872103956593977,0.009192459368415989,0.9817156527682844,0.017586380608102487,0.7348201166790076,0.010735500954911674,0.17201382133592738,0.028768818377667187,0.4295612291373703,0.05922346247409155
0.01,5.0,0.5,poly,0.8560774357346874,0.028911729564233827,0.8444929628096473,0.029460628272635014,0.9082023239917977,0.021655350031866957,0.8750654065561843,0.024064621268928863,0.8063362452862346,0.040731943742160034,0.8556729301448076,0.03241921310038126
0.01,5.0,1.0,poly,0.8430128001692584,0.011914587239228475,0.842624581539933,0.010924073011988241,0.8820232399179769,0.03752753090055206,0.8612376085584945,0.013534085151686435,0.8040389687798953,0.014216188042197367,0.8352177668097763,0.025792529577841054
0.1,2.0,3.19,poly,0.8619168517930816,0.03007731673214816,0.862989187519308,0.019199669557744783,0.8925837320574163,0.047338205045415194,0.8770257903684844,0.02868609777912264,0.831046494364022,0.025637079510914314,0.854606282874174,0.043570427879480816
0.1,,3.19,rbf,0.7311329736591559,0.020208116776464887,0.6776671476671476,0.013748770876729773,0.9816814764183185,0.015653514475075757,0.8017948824742731,0.014082108262407543,0.4727702902244809,0.03197724384819981,0.7573599810640947,0.03933666270969732
0.1,2.0,0.1,poly,0.8444303395747381,0.04213319834977068,0.8394199875618767,0.033440691151431855,0.889917976760082,0.05382513637064793,0.8633679476313001,0.037870508102713085,0.8000506984374927,0.045580316748597305,0.8399790610656247,0.05704881379285848
0.1,,0.1,rbf,0.844440918227018,0.03434776156066832,0.8552192945503029,0.027776224846595816,0.8662679425837322,0.045368843911806025,0.8602464972872124,0.03153973225057507,0.8200797349465058,0.03612816394828414,0.8293146800991552,0.045299536738600626
0.1,2.0,0.5,poly,0.8662858351845975,0.0393277671642707,0.8656325295188274,0.026261157575841937,0.8978468899521532,0.0528193692000253,0.8810237352533369,0.0364329065558507,0.8350156781852899,0.03558767255077502,0.8603286416024181,0.053656650488292004
0.1,,0.5,rbf,0.8531788850100497,0.02276516139108893,0.843257995549544,0.01604142325989041,0.9029733424470268,0.032517930449729185,0.8718656181278582,0.020372473021111427,0.8056033605196505,0.023362873715575043,0.8520363028649316,0.033777617642416616
0.1,2.0,1.0,poly,0.867745689199196,0.03253952171849254,0.8647807812342695,0.02728403459513151,0.9030416951469583,0.043950387418744116,0.8829919079367203,0.02962040014150175,0.833217134356602,0.03669764241962371,0.8633826207038184,0.04348538840139461
0.1,,1.0,rbf,0.8488627948799323,0.02427081750422362,0.8193131773062093,0.026482644765142536,0.9344155844155845,0.018467060332514277,0.8728149559497874,0.018274734694469698,0.7693002038954063,0.04316180481936339,0.8636747335223169,0.028254747932890838
0.1,3.0,3.19,poly,0.8313974399661482,0.019639905429665514,0.8337004662004663,0.009062241872384452,0.8688995215311005,0.03358326817319507,0.8506909756909756,0.018977476870658958,0.7933014901622996,0.01273773689974124,0.8200262244253281,0.03056392765306242
0.1,3.0,0.1,poly,0.8313974399661482,0.03022064902829705,0.7967675413027622,0.024603057864125925,0.934483937115516,0.029647781688274224,0.8600046651516319,0.024373023638143962,0.7349373659071847,0.04023655341479394,0.8496160602547264,0.04259039397943023
0.1,3.0,0.5,poly,0.8706336612715541,0.03223225948878198,0.8580652716927227,0.02619572714465679,0.9187969924812031,0.0378823526726635,0.8871454915895514,0.02846539427310295,0.825402010374465,0.03607604537705903,0.8729899171953861,0.04265025422563911
0.1,3.0,1.0,poly,0.8749709087062307,0.026631080050780992,0.8701832429174201,0.023481599091310833,0.9109022556390978,0.03974308356812784,0.8895694601275675,0.02432674206501373,0.840201236738371,0.03093120770481827,0.8724632651948724,0.03754867258370666
0.1,5.0,3.19,poly,0.793557600761663,0.02886072715314409,0.8137926755162999,0.04674357183366214,0.8189336978810664,0.038299567661905135,0.8148714860638471,0.022865349636716624,0.762943363065213,0.05857493201570809,0.7700266511955554,0.031113007823953036
0.1,5.0,0.1,poly,0.8023484608060933,0.0340504354170513,0.7509939862542956,0.02672719454349268,0.963362952836637,0.022256808368437228,0.8439709621131513,0.02507403184185535,0.6477016271476576,0.05232604325644009,0.8371713605588127,0.04968568407816233
0.1,5.0,0.5,poly,0.844472654183857,0.011818329050085364,0.8412640805019663,0.014305437062305136,0.887218045112782,0.026662591318040833,0.8632652209160966,0.01112268642778512,0.8023383465226577,0.01929446342185209,0.8378994644110213,0.02019310123097412
0.1,5.0,1.0,poly,0.8226383158785572,0.033125870198990576,0.8298263806800694,0.024541942123351704,0.8558441558441559,0.051092511594854575,0.8419290688036385,0.03149757830168085,0.7876685798972993,0.03386015111695393,0.8085206099072441,0.04557459666634753
1.0,2.0,3.19,poly,0.8561303289960858,0.03145054850042691,0.867396319837263,0.021269679365198545,0.8742652084757347,0.05262219071002483,0.8700480420248953,0.031247958214912087,0.8353899877670894,0.026906525207507234,0.8424661645044959,0.04403001873476323
1.0,,3.19,rbf,0.8401142494446207,0.02469308525003556,0.8220173063471649,0.017369436173061643,0.9082365003417635,0.03492883159168498,0.8627165033766591,0.021647478483568437,0.775785465693906,0.02673084431283531,0.8443865840592425,0.037691673480114686
1.0,2.0,0.1,poly,0.8517296096477308,0.04870296392991862,0.8492407308604779,0.03400665221466383,0.8900205058099795,0.06173734141978885,0.8686967085618266,0.044840782975645796,0.8141086509808165,0.0456132568067638,0.8461853215786928,0.06481029295531181
1.0,,0.1,rbf,0.8590077224161641,0.043170942074497204,0.8569032437861488,0.033059578424336204,0.8952153110047847,0.05388141928489083,0.8751760934422901,0.0391131625254192,0.8233520276100087,0.04442223532158363,0.8535004959078474,0.05745081364584075
1.0,2.0,0.5,poly,0.8677351105469164,0.029520308722639495,0.8629061240525948,0.024684777870353083,0.9056732740943266,0.041326400759618825,0.8832994064666352,0.0269399688847715,0.8310096319229446,0.03328940497844524,0.864620166428141,0.04018799361663001
1.0,,0.5,rbf,0.8648259811699989,0.025346826145460293,0.8553178596739901,0.02427479135266729,0.9108339029391661,0.03344106508999569,0.8818028282792583,0.021932557323133692,0.8209793514340384,0.0332527827693703,0.8645758827549008,0.0348802263935777
1.0,2.0,1.0,poly,0.8633767058076801,0.02947517034846411,0.8633400647122904,0.019279534679700294,0.8952153110047847,0.04552123035910041,0.8785245704312239,0.027993230199536392,0.8315929424514537,0.02570901681239604,0.8567708539389519,0.042308446122985933
1.0,,1.0,rbf,0.8662752565323177,0.021821541766637042,0.8642006833941073,0.01613563740933966,0.9003417634996582,0.03359265743517637,0.8815921572911168,0.01998069118653316,0.8327219928177542,0.021898358382153274,0.8606615009912396,0.03238974898120016
1.0,3.0,3.19,poly,0.8124616523854862,0.04207547205336558,0.8384856391705707,0.03382754295864669,0.8190704032809297,0.04568745287941941,0.8285234607416143,0.038892871716551126,0.7997300169820788,0.042631886619467665,0.7865877353383901,0.04990731563396205
1.0,3.0,0.1,poly,0.854649317676928,0.041815353146355254,0.8417194586627851,0.030021475173985204,0.9083048530416951,0.048688118037456846,0.8735255933727393,0.03704030355201003,0.8039237502345552,0.04268219503115071,0.8561130104872857,0.05645194344145766
1.0,3.0,0.5,poly,0.8706125039669945,0.027019965406607768,0.8671705893322377,0.02332937172107309,0.9056390977443609,0.03614500854653207,0.8856344234412082,0.024474953956218418,0.8363904812728352,0.0309937223509532,0.8663606500222188,0.0360783962541576
1.0,3.0,1.0,poly,0.844440918227018,0.021571399856455203,0.8461667373313959,0.014909098555489816,0.8794258373205743,0.03771567330703993,0.862031367519891,0.020627894050217244,0.8090318299549673,0.021194729965961702,0.8348602483174481,0.03258764195869244
1.0,5.0,3.19,poly,0.793557600761663,0.02886072715314409,0.8137926755162999,0.04674357183366214,0.8189336978810664,0.038299567661905135,0.8148714860638471,0.022865349636716624,0.762943363065213,0.05857493201570809,0.7700266511955554,0.031113007823953036
1.0,5.0,0.1,poly,0.8357664233576643,0.029159398273183108,0.8079626121005431,0.026834592974754223,0.9239576213260424,0.026546027465703174,0.8618656551926822,0.023324504026052746,0.7530484400554357,0.04282437114313151,0.8475502316143049,0.03774361832911514
1.0,5.0,0.5,poly,0.8269967206177933,0.023394598032440532,0.8312453819734522,0.02100567553945884,0.8636363636363636,0.034269865223865985,0.8467170134372364,0.02124030829417811,0.7891853280474301,0.029854542170467492,0.8140746479117515,0.031413708493291746
1.0,5.0,1.0,poly,0.8153707817624035,0.04496693296939358,0.8265388268552826,0.04211826623513963,0.8452836637047163,0.047473964119784266,0.8353036417742301,0.03977102882121228,0.7826168330200216,0.05539537725131448,0.7973647536732636,0.0536443069825119
5.0,2.0,3.19,poly,0.8561091716915264,0.033153394981000534,0.861434347299984,0.01759930375636153,0.8821257689678742,0.05492548817366223,0.8709502521122798,0.03227363512859208,0.8290064105685037,0.024132561728012945,0.8461394888652428,0.04892367751307468
5.0,,3.19,rbf,0.8284777319369512,0.03393197991208587,0.8135976123810341,0.01894047656680197,0.8951811346548189,0.05004654740629251,0.8520601721820998,0.03113742645434009,0.7648596681560339,0.02784011653294426,0.8297591701762507,0.05153759009025113
5.0,2.0,0.1,poly,0.8677351105469164,0.0350501992857401,0.8645209269830765,0.026996247886911514,0.9030416951469583,0.04549879898835084,0.8829573039122168,0.0318181055557459,0.8332644528384229,0.036538584804491694,0.8633807632614507,0.047170438330083615
